Model,BestEp,AUC,RMSE,Path,PVR,APC,VS,RDC
Pure-CF,28,0.5038828293383842,0.652016932682094,,,,,
DKT,9,0.8377114492848279,0.3932675648488943,68.02973977695167,35.488308115543326,64.51169188445667,0.4228820712542091,60.24759284731774
SAKT,29,0.7980863431519822,0.4185897823566471,57.74473358116481,43.10998735777497,56.89001264222503,0.45995375309875736,55.24652338811631
KG-SAKT,20,0.8199529749853047,0.40702379843584685,74.96902106567535,27.747252747252748,72.25274725274726,0.37195143624071003,49.31318681318682
